Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01012100,Live purebred breeding horses,2022,number,291.00,262.00,172.00,152.00,200.00,166.00,138.00,183.00,180.00,297.00,269.00,312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01012900,Live horses other than purebred breeding horses,2022,number,2243.00,1961.00,1785.00,1813.00,1831.00,1825.00,2710.00,1748.00,2210.00,2256.00,2482.00,2271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01013000,Live asses,2022,number,8060.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01019040,Mules and hinnies not imported for immediate slaughter,2022,number,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022100,Live purebred breeding cattle,2022,number,617.00,642.00,807.00,731.00,739.00,751.00,610.00,477.00,487.00,418.00,586.00,646.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022920,Cows imported specially for dairy purposes,2022,number,845.00,663.00,234.00,316.00,287.00,304.00,452.00,280.00,162.00,80.00,78.00,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022940,Live cattle other than purebred or those imported for dairy purposes,2022,number,130921.00,155217.00,180561.00,123731.00,131649.00,126292.00,95644.00,106990.00,92951.00,115925.00,176404.00,180126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023100,Live purebred breeding buffalo,2022,number,0.00,0.00,0.00,2.00,17.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023900,"Live buffalo, other than purebred breeding animals",2022,number,3567.00,2625.00,3562.00,2867.00,2581.00,3111.00,2399.00,2700.00,2065.00,2297.00,2883.00,2108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01029000,"Live bovine animals, other than cattle and buffalo",2022,number,0.00,35.00,0.00,153.00,0.00,30.00,199.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
