Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01012100,Live purebred breeding horses,2025,number,187.00,106.00,155.00,118.00,110.00,81.00,104.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01012900,Live horses other than purebred breeding horses,2025,number,1630.00,1506.00,1417.00,1278.00,1237.00,894.00,1173.00,1003.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01013000,Live asses,2025,number,2.00,0.00,2.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01019040,Mules and hinnies not imported for immediate slaughter,2025,number,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022100,Live purebred breeding cattle,2025,number,1204.00,843.00,1398.00,538.00,373.00,303.00,332.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022920,Cows imported specially for dairy purposes,2025,number,580.00,654.00,730.00,755.00,1055.00,733.00,604.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022940,Live cattle other than purebred or those imported for dairy purposes,2025,number,77655.00,105148.00,185268.00,123821.00,65055.00,48514.00,53666.00,48022.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023100,Live purebred breeding buffalo,2025,number,0.00,0.00,11.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023900,"Live buffalo, other than purebred breeding animals",2025,number,4011.00,4204.00,3260.00,1204.00,1983.00,1541.00,1330.00,883.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01029000,"Live bovine animals, other than cattle and buffalo",2025,number,95.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2025,number,462603.00,422165.00,419899.00,405225.00,467183.00,418295.00,498950.00,395866.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2025,number,173997.00,144863.00,150537.00,134037.00,123738.00,124485.00,122193.00,111709.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01041000,Live sheep,2025,number,268.00,131.00,450.00,140.00,3.00,88.00,211.00,986.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051100,Live chickens weighing not over 185 g each,2025,number,298129.00,351958.00,113890.00,450687.00,203940.00,326657.00,351077.00,411357.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051200,Live turkeys weighing not more than over 185 g each,2025,number,434972.00,350044.00,461450.00,677109.00,526217.00,589150.00,814335.00,662661.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051300,"Live ducks, weighing not more than 185 g each",2025,number,59960.00,58233.00,73500.00,65640.00,72391.00,75530.00,92358.00,74412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
