Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01012100,Live purebred breeding horses,2024,number,208.00,80.00,142.00,169.00,145.00,107.00,140.00,146.00,180.00,259.00,207.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01012900,Live horses other than purebred breeding horses,2024,number,1834.00,1568.00,1707.00,1475.00,1712.00,1473.00,1510.00,1515.00,1962.00,2577.00,2096.00,1827.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01013000,Live asses,2024,number,0.00,6.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,3.00,1.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022100,Live purebred breeding cattle,2024,number,778.00,560.00,566.00,615.00,761.00,1058.00,383.00,415.00,364.00,741.00,691.00,803.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022920,Cows imported specially for dairy purposes,2024,number,477.00,262.00,295.00,612.00,656.00,567.00,204.00,200.00,356.00,440.00,396.00,348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01022940,Live cattle other than purebred or those imported for dairy purposes,2024,number,152315.00,180800.00,191598.00,234629.00,197282.00,168660.00,183304.00,141603.00,154224.00,200101.00,167498.00,61731.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01023900,"Live buffalo, other than purebred breeding animals",2024,number,3028.00,4248.00,3308.00,4474.00,3015.00,2595.00,2497.00,1637.00,1631.00,2093.00,2912.00,2909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01029000,"Live bovine animals, other than cattle and buffalo",2024,number,0.00,0.00,0.00,70.00,0.00,0.00,35.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01031000,Live purebred breeding swine,2024,number,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2024,number,423041.00,442490.00,396036.00,421422.00,454078.00,360204.00,390894.00,397185.00,374661.00,421947.00,356521.00,438293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
